id;name;logo
1;.Net;
2;Angular 4+;
3;AngularJS;
4;Apache;
5;ASP.net;
6;AWS;
7;Azure;
8;BackBoneJS;
9;Bootstrap;
10;Bower;
11;C#;
12;C++;
13;CakePHP;
14;CodeIgniter;
15;CSS3;
16;D3.js;
17;Django;
18;Elixir;
19;Ember.js;
20;Express;
21;Flask;
22;Font Awesome;
23;Foundation;
24;Golang;
25;Google Cloud;
26;Grunt;
27;Gulp;
28;HTML5;
29;IconMonster;
30;Icons8;
31;IIS;
32;Java;
33;Javascript;
34;jQuery;
35;jQuery Mobile;
36;jQuery UI;
37;JSF;
38;Laravel;
39;LESS;
40;Linux;
41;Lodash;
42;MariaDB;
43;Meteor;
44;Moment.js;
45;MongoDB;
46;MS SQL;
47;MySQL;
48;Nginx;
49;NodeJS;
50;Npm;
51;Oracle;
52;Phoenix;
53;PHP;
54;PostgreSQL;
55;Pyramid;
56;Python;
57;Python;
58;React;
59;Redis;
60;Ruby;
61;Ruby;
62;Ruby On Rails;
63;Rust;
64;SASS;
65;Scala;
66;Semantic UI;
67;Spring;
68;Spring boot;
69;SQL;
70;Stylus;
71;Swift;
72;Symfony;
73;Uikit;
74;Underscore.js;
75;Visual Basic;
76;Windows Server;
77;Yarn;
